GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaSignature,57,198,3,29,16,62,4,29,1,12
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaDSAKeyPairGenerator,0,48,0,0,0,11,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPair.JcaPrivateKey,21,37,5,5,4,9,6,3,1,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaLMSKeyPairGenerator,14,120,0,0,4,26,0,5,0,5
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaAgreement.JcaAnonEngine,14,86,0,0,4,19,0,3,0,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaAgreement,23,69,2,13,6,20,2,12,0,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaMLKEMKeyPairGenerator,7,49,0,0,2,12,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaHQCKeyPairGenerator,7,49,0,0,2,12,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaFactory,0,29,0,0,0,7,0,6,0,6
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaBIKEKeyPairGenerator,7,49,0,0,2,12,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaFrodoKeyPairGenerator,7,49,0,0,2,12,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaAEADCipher,81,87,14,4,21,24,10,9,3,7
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaAgreement.JcaMQVEngine,14,134,0,0,4,27,0,3,0,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaCipher,81,155,16,18,20,36,11,16,3,7
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaAgreement.JcaAgreementBase,17,170,2,20,4,33,2,21,0,8
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaSLHDSAKeyPairGenerator,9,55,1,1,2,13,1,2,0,2
